,True_Values,Mean_Prediction,Std_Prediction
1176,0,0.1659560671634972,0.09666591087824972
3508,0,0.46440923810005186,0.063551121217144
10946,0,0.7884728330373764,0.06090890539491637
980,0,0.13209003452211618,0.08781715995444297
10954,1,0.6684574890136719,0.06835222026867119
2913,0,0.34835527434945107,0.08189666182861438
6408,0,0.32145883306860923,0.0881849468312962
8987,0,0.12374911400489509,0.06725743476064934
854,0,0.5434079402685166,0.04210843871731627
10335,0,0.7837313890457154,0.06695821943864183
6919,0,0.6140411579608918,0.04603390889946471
757,0,0.29492992006242275,0.09045626911509884
11055,0,0.7693990349769593,0.05741994300039063
10070,1,0.5762369027733802,0.06011860922045036
2328,1,0.49893379032611845,0.04146475297449628
8159,0,0.5735798549652099,0.06602455243867102
1955,0,0.4756861844658852,0.04796170856227679
432,0,0.670803809762001,0.0498943439119965
4800,0,0.37186401918530465,0.08547004269028925
8325,0,0.15077432783320546,0.07513811183769588
7396,0,0.24622736617922783,0.08779393615236264
1103,1,0.7161907076835632,0.05943137269277469
6185,1,0.7353334724903107,0.05814680393376903
4354,0,0.6698290181159973,0.060212907349726355
3617,0,0.5034718337655067,0.02912732093735391
8417,1,0.6294633126258851,0.052346842773573356
1949,0,0.5675316029787063,0.03210578901905524
2687,1,0.2476318085938692,0.07800855127744828
4215,0,0.4884299111366272,0.056128112000981625
4156,0,0.34010058239102364,0.09644069046203071
2303,0,0.5084558421373367,0.08080010094300621
7713,0,0.49956880062818526,0.0814487581679148
5262,0,0.37468458533287047,0.09234945463267194
1098,0,0.15719773603603243,0.06622856220942773
1295,0,0.34983768947422506,0.11565986165608158
10792,0,0.8559030109643936,0.06580054430217194
1188,0,0.7898952960968018,0.0648586698384353
6288,0,0.7249172484874725,0.05807392478696033
887,0,0.5022527849674225,0.05108712018696148
10678,0,0.7933355402946473,0.07483250496226483
10982,0,0.7677689242362976,0.054919473095581914
10574,1,0.7550709110498428,0.057568573059560584
7941,1,0.6727473264932633,0.04623448401688454
1514,0,0.5177306300401687,0.057017086157683
4045,0,0.6290645319223404,0.052799283093711756
1851,0,0.4306000953912735,0.0597401851972205
7487,0,0.527856887280941,0.048097622395385994
10506,1,0.8457041323184967,0.07252407036553266
1799,0,0.4358199274539947,0.0740882631765129
6726,0,0.6047236070036888,0.05161426419356885
5583,0,0.4588706204295158,0.05653990353031184
2742,0,0.27080686271190646,0.09816258627584536
2086,1,0.8199564045667649,0.0730515012830525
5584,0,0.51486332654953,0.026826578529839405
766,0,0.17772230057045818,0.08324877353528065
2967,0,0.3260481678694487,0.09674987789612913
1886,1,0.6547252541780472,0.05031421989780674
3916,0,0.2555595816299319,0.11185808546189174
9365,0,0.3540694512426853,0.07555720951201604
2381,0,0.5008076742291451,0.04485455659895558
2478,0,0.6205267947912216,0.04187830490865753
2842,0,0.20109109941869974,0.10195700715784463
9351,0,0.12870448814705016,0.0792528845301221
99,0,0.16432068092748522,0.09860869049420386
7392,0,0.49184577345848085,0.0456079237428242
1406,1,0.5917743510007858,0.03893841299790963
3988,0,0.735629278421402,0.0839961514499677
8902,0,0.35393881633877755,0.0920565695675744
3682,0,0.13119105788879096,0.0823217755943146
570,0,0.3008752939105034,0.09006780910553286
798,0,0.171329042352736,0.07972632251830099
7630,0,0.5043106666207313,0.05267906450502692
2403,0,0.3261469858884811,0.09753761711426705
10812,0,0.801966603398323,0.06245916486187148
6319,1,0.5768479061126709,0.044306291037143605
6724,0,0.4020571476221085,0.10738046335541081
10401,1,0.7910243755578995,0.056966257949765294
6541,0,0.5443324798345566,0.03437604787570195
3297,0,0.18827821679413317,0.08005972934753083
3318,0,0.31800115555524827,0.11832346093179942
782,0,0.3765604431927204,0.0995557128169711
4323,1,0.6046636301279068,0.049520233295036804
10060,0,0.59684128344059,0.053503457788587144
1054,0,0.5288740628957749,0.030139226350419834
186,1,0.6305688494443893,0.04760357124163906
1512,0,0.6030574786663055,0.0370664173507806
3456,0,0.11855625346302986,0.07037420808447567
691,0,0.6991686129570007,0.06871055434865411
6672,0,0.6365834045410156,0.043877659334602456
8424,0,0.5271996757388115,0.039885099801620964
4941,0,0.6098672485351563,0.05292466175578006
5685,0,0.7347929120063782,0.05099219624062726
5991,0,0.5931622502207756,0.058343710490128764
9201,0,0.23170041784644127,0.09577489014786818
3466,0,0.12756726842373609,0.06482691648543618
2115,0,0.6032648521661759,0.03740755650288827
6441,0,0.4438511493802071,0.07991109753270263
7501,0,0.30500961646437647,0.07759393191991618
3031,0,0.153043788485229,0.07206240425995265
7993,0,0.6098075979948043,0.0411216931941907
4686,1,0.5312326648831367,0.03287379073802358
3239,0,0.19485939968377353,0.09139352635218709
6573,0,0.5734735929965973,0.04617392410877593
11025,1,0.6483339083194732,0.05497581056825374
10724,0,0.7140806311368942,0.06602041409492039
4819,0,0.49159352988004684,0.05587661666692609
2745,0,0.16014654826372862,0.09420332165713236
1828,0,0.4097742311656475,0.0992630486379315
767,0,0.18846590846776962,0.08161274833337158
10991,0,0.6370698541402817,0.060241935333064614
8481,0,0.1052219485444948,0.07756560912890678
939,1,0.48147900104522706,0.0791739818495003
6713,1,0.7576751554012299,0.060894320003362666
10497,0,0.7175644993782043,0.0782027226916737
426,0,0.31193813592195513,0.10158858813295409
2543,0,0.41083376228809354,0.12473677001024586
7289,0,0.5713604387640953,0.08555096073429219
9616,0,0.8121326285600662,0.060500404628253804
6759,0,0.7940243756771088,0.07048727459666113
8295,0,0.510970851778984,0.04654393227428004
10341,0,0.7890944868326187,0.06069737357572826
6729,0,0.588473053574562,0.04500889791879501
4902,0,0.3584303294867277,0.11236761737124143
6900,0,0.6854669404029846,0.06262523642299017
7974,1,0.5475819173455239,0.04370659508718414
8246,0,0.1671363371796906,0.0939669619332793
1255,0,0.5668048739433289,0.03784762867401502
286,0,0.5302338755130768,0.03836613201066673
6395,0,0.6351285973191261,0.06749821534266102
11142,1,0.7810602074861527,0.06900741516000068
2756,0,0.4928020820021629,0.046048118871939006
5711,0,0.4809506192803383,0.06645594252638115
9537,0,0.7959585267305375,0.07385084893164041
8011,0,0.5740802007913589,0.04274156864042118
2148,0,0.5979414731264114,0.03774412626446078
2383,0,0.16643754372373223,0.08320917841153316
10747,0,0.6837067845463752,0.06441591153386378
8675,0,0.3364995948970318,0.12447687667300238
4148,0,0.7177546340227127,0.08105420611762126
